user_id,gender,canton,school,study,class_year,continuation_indicator,education_level,school_type,end_week,is_dropout_point,cluster_spectral_eucl,spectral_agg,kmeans_flat,kmeans_eucl,stage2_outcome,canton_top,engagement_score,engagement_level
387604,Unknown,Unknown,Unknown,0,0,1,Unknown,Unknown,46,0,3,0,3,1,0,Unknown,0.01928549489280266,Low
387605,Unknown,Unknown,Unknown,0,0,1,Unknown,Unknown,26,0,3,0,2,1,0,Unknown,0.012857745713168525,Low
387608,Unknown,Unknown,Unknown,1,0,1,Unknown,Unknown,45,0,1,0,1,3,0,Unknown,0.03338654761347096,Medium
387608,Unknown,Unknown,Unknown,1,0,1,Unknown,Unknown,68,0,3,0,3,3,0,Unknown,0.03338654761347096,Medium
387615,MALE,SG,Gymnasium,0,3,1,Secondary,Academic,50,0,0,0,1,0,0,SG,0.10147374572812491,High
387615,MALE,SG,Gymnasium,0,3,1,Secondary,Academic,60,1,0,0,1,0,1,SG,0.10147374572812491,High
387650,Unknown,Unknown,Unknown,1,0,1,Unknown,Unknown,29,0,1,0,3,1,0,Unknown,0.02630177663451242,Medium
387650,Unknown,Unknown,Unknown,1,0,1,Unknown,Unknown,39,0,3,0,2,1,0,Unknown,0.02630177663451242,Medium
387650,Unknown,Unknown,Unknown,1,0,1,Unknown,Unknown,43,0,1,0,0,1,0,Unknown,0.02630177663451242,Medium
387650,Unknown,Unknown,Unknown,1,0,1,Unknown,Unknown,71,0,3,0,3,3,0,Unknown,0.02630177663451242,Medium
387667,FEMALE,SG,Gymnasium,0,2,1,Secondary,Academic,26,1,0,0,1,0,1,SG,0.034834439645418915,Medium
387668,FEMALE,SG,Gymnasium,0,2,1,Secondary,Academic,29,0,0,0,1,0,0,SG,0.029220045965969298,Medium
387669,MALE,SG,Gymnasium,0,2,1,Secondary,Academic,31,0,3,0,1,3,0,SG,0.03400752838862888,Medium
387670,FEMALE,SG,Gymnasium,0,2,1,Secondary,Academic,36,0,0,0,1,0,0,SG,0.030335435547776502,Medium
387671,MALE,SG,Gymnasium,0,2,1,Secondary,Academic,46,1,1,0,3,1,1,SG,0.03247066395307641,Medium
387671,MALE,SG,Gymnasium,0,2,1,Secondary,Academic,56,0,0,0,1,3,0,SG,0.03247066395307641,Medium
387673,MALE,SG,Gymnasium,0,2,1,Secondary,Academic,13,1,0,0,1,0,1,SG,0.030440314864232015,Medium
387673,MALE,SG,Gymnasium,0,2,1,Secondary,Academic,16,1,0,0,1,0,1,SG,0.030440314864232015,Medium
387674,MALE,SG,Gymnasium,0,2,1,Secondary,Academic,26,1,0,0,1,0,1,SG,0.07501479721873622,High
387674,MALE,SG,Gymnasium,0,2,1,Secondary,Academic,49,1,1,0,0,1,1,SG,0.07501479721873622,High
387676,MALE,SG,Gymnasium,0,2,1,Secondary,Academic,56,1,1,0,3,1,1,SG,0.013309186085901092,Low
387677,FEMALE,SG,Gymnasium,0,2,1,Secondary,Academic,21,1,0,0,1,0,1,SG,0.024805837065612218,Low
387677,FEMALE,SG,Gymnasium,0,2,1,Secondary,Academic,50,0,1,0,1,3,0,SG,0.024805837065612218,Low
387678,FEMALE,SG,Gymnasium,0,2,1,Secondary,Academic,53,0,2,0,0,2,0,SG,0.020846670645989804,Low
387679,FEMALE,SG,Gymnasium,0,2,1,Secondary,Academic,29,0,3,0,1,3,0,SG,0.027159228508606824,Medium
387679,FEMALE,SG,Gymnasium,0,2,1,Secondary,Academic,32,0,3,0,1,3,0,SG,0.027159228508606824,Medium
387682,FEMALE,SG,Gymnasium,0,2,1,Secondary,Academic,15,1,0,0,1,0,1,SG,0.034766104202660665,Medium
387683,FEMALE,SG,Gymnasium,0,2,1,Secondary,Academic,26,1,0,0,1,0,1,SG,0.028804225313576647,Medium
387683,FEMALE,SG,Gymnasium,0,2,1,Secondary,Academic,33,0,0,0,1,0,0,SG,0.028804225313576647,Medium
387711,FEMALE,SG,Gymnasium,1,2,1,Secondary,Academic,50,0,1,0,1,3,0,SG,0.0275862260258552,Medium
387713,FEMALE,SG,Gymnasium,1,2,1,Secondary,Academic,13,0,3,0,3,3,0,SG,0.028074210272285027,Medium
387713,FEMALE,SG,Gymnasium,1,2,1,Secondary,Academic,50,1,0,0,1,0,1,SG,0.028074210272285027,Medium
387715,FEMALE,SG,Gymnasium,1,2,1,Secondary,Academic,12,0,3,0,3,1,0,SG,0.062141588153184255,High
387716,FEMALE,SG,Gymnasium,1,2,1,Secondary,Academic,32,0,0,0,1,0,0,SG,0.046374036802405746,Medium
387716,FEMALE,SG,Gymnasium,1,2,1,Secondary,Academic,48,1,1,0,0,1,1,SG,0.046374036802405746,Medium
387717,FEMALE,SG,Gymnasium,1,2,1,Secondary,Academic,36,0,0,0,1,0,0,SG,0.05320874389340008,High
387722,FEMALE,SG,Gymnasium,1,2,1,Secondary,Academic,18,0,3,0,1,3,0,SG,0.021105604755846247,Low
