user_id,gender,canton,school,study,class_year,continuation_indicator,education_level,end_week,is_dropout_point,cluster_spectral,spectral_agg,kmeans_flat,kmeans_eucl,cluster_kmeans,stage2_outcome,engagement_score,engagement_level,school_type
387604,Unknown,Unknown,Unknown,0,0,1,Unknown,46,0,3,0,3,1,3,0,2.0,Low,Other
387605,Unknown,Unknown,Unknown,0,0,1,Unknown,26,0,3,0,2,1,3,0,12.0,Low,Other
387608,Unknown,Unknown,Unknown,1,0,1,Unknown,45,0,1,0,1,3,1,0,101.0,Medium,Other
387608,Unknown,Unknown,Unknown,1,0,1,Unknown,68,0,3,0,3,3,3,0,11.0,Low,Other
387615,MALE,SG,Gymnasium,0,3,1,Secondary,50,0,0,0,1,0,0,0,348.0,High,Academic
387615,MALE,SG,Gymnasium,0,3,1,Secondary,60,1,0,0,1,0,0,1,334.0,High,Academic
387650,Unknown,Unknown,Unknown,1,0,1,Unknown,29,0,1,0,3,1,1,0,463.0,High,Other
387650,Unknown,Unknown,Unknown,1,0,1,Unknown,39,0,3,0,2,1,3,0,36.0,Low,Other
387650,Unknown,Unknown,Unknown,1,0,1,Unknown,43,0,1,0,0,1,1,0,15.0,Low,Other
387650,Unknown,Unknown,Unknown,1,0,1,Unknown,71,0,3,0,3,3,3,0,364.0,High,Other
387667,FEMALE,SG,Gymnasium,0,2,1,Secondary,26,1,0,0,1,0,0,1,121.0,Medium,Academic
387668,FEMALE,SG,Gymnasium,0,2,1,Secondary,29,0,0,0,1,0,0,0,82.0,Medium,Academic
387669,MALE,SG,Gymnasium,0,2,1,Secondary,31,0,3,0,1,3,3,0,122.0,Medium,Academic
387670,FEMALE,SG,Gymnasium,0,2,1,Secondary,36,0,0,0,1,0,0,0,91.0,Medium,Academic
387671,MALE,SG,Gymnasium,0,2,1,Secondary,46,1,1,0,3,1,1,1,101.0,Medium,Academic
387671,MALE,SG,Gymnasium,0,2,1,Secondary,56,0,0,0,1,3,0,0,939.0,High,Academic
387673,MALE,SG,Gymnasium,0,2,1,Secondary,13,1,0,0,1,0,0,1,91.0,Medium,Academic
387673,MALE,SG,Gymnasium,0,2,1,Secondary,16,1,0,0,1,0,0,1,300.0,High,Academic
387674,MALE,SG,Gymnasium,0,2,1,Secondary,26,1,0,0,1,0,0,1,24.0,Low,Academic
387674,MALE,SG,Gymnasium,0,2,1,Secondary,49,1,1,0,0,1,1,1,116.0,Medium,Academic
387676,MALE,SG,Gymnasium,0,2,1,Secondary,56,1,1,0,3,1,1,1,15.0,Low,Academic
387677,FEMALE,SG,Gymnasium,0,2,1,Secondary,21,1,0,0,1,0,0,1,119.0,Medium,Academic
387677,FEMALE,SG,Gymnasium,0,2,1,Secondary,50,0,1,0,1,3,1,0,70.0,Medium,Academic
387678,FEMALE,SG,Gymnasium,0,2,1,Secondary,53,0,2,0,0,2,2,0,128.0,Medium,Academic
387679,FEMALE,SG,Gymnasium,0,2,1,Secondary,29,0,3,0,1,3,3,0,78.0,Medium,Academic
387679,FEMALE,SG,Gymnasium,0,2,1,Secondary,32,0,3,0,1,3,3,0,202.0,High,Academic
387682,FEMALE,SG,Gymnasium,0,2,1,Secondary,15,1,0,0,1,0,0,1,85.0,Medium,Academic
387683,FEMALE,SG,Gymnasium,0,2,1,Secondary,26,1,0,0,1,0,0,1,50.0,Low,Academic
387683,FEMALE,SG,Gymnasium,0,2,1,Secondary,33,0,0,0,1,0,0,0,214.0,High,Academic
387711,FEMALE,SG,Gymnasium,1,2,1,Secondary,50,0,1,0,1,3,1,0,113.0,Medium,Academic
387713,FEMALE,SG,Gymnasium,1,2,1,Secondary,13,0,3,0,3,3,3,0,370.0,High,Academic
387713,FEMALE,SG,Gymnasium,1,2,1,Secondary,50,1,0,0,1,0,0,1,132.0,Medium,Academic
387715,FEMALE,SG,Gymnasium,1,2,1,Secondary,12,0,3,0,3,1,3,0,347.0,High,Academic
387716,FEMALE,SG,Gymnasium,1,2,1,Secondary,32,0,0,0,1,0,0,0,177.0,High,Academic
387716,FEMALE,SG,Gymnasium,1,2,1,Secondary,48,1,1,0,0,1,1,1,249.0,High,Academic
387717,FEMALE,SG,Gymnasium,1,2,1,Secondary,36,0,0,0,1,0,0,0,407.0,High,Academic
387722,FEMALE,SG,Gymnasium,1,2,1,Secondary,18,0,3,0,1,3,3,0,87.0,Medium,Academic
387725,FEMALE,SG,Gymnasium,0,2,1,Secondary,24,0,2,0,1,0,2,0,71.0,Medium,Academic
387726,FEMALE,Andere,Keine Angabe,1,0,1,Unknown,21,0,0,0,1,0,0,0,318.0,High,Other
387726,FEMALE,Andere,Keine Angabe,1,0,1,Unknown,28,0,0,0,1,0,0,0,83.0,Medium,Other
387727,MALE,SG,Gymnasium,1,2,1,Secondary,15,1,3,0,3,1,3,1,476.0,High,Academic
387727,MALE,SG,Gymnasium,1,2,1,Secondary,16,1,3,0,3,1,3,1,424.0,High,Academic
387727,MALE,SG,Gymnasium,1,2,1,Secondary,23,0,2,0,0,2,2,0,198.0,High,Academic
387727,MALE,SG,Gymnasium,1,2,1,Secondary,30,1,3,0,3,1,3,1,80.0,Medium,Academic
387727,MALE,SG,Gymnasium,1,2,1,Secondary,61,1,2,0,0,2,2,1,34.0,Low,Academic
387729,MALE,SG,Gymnasium,0,2,1,Secondary,33,1,0,0,1,3,0,1,104.0,Medium,Academic
387729,MALE,SG,Gymnasium,0,2,1,Secondary,35,0,0,0,1,3,0,0,48.0,Low,Academic
387729,MALE,SG,Gymnasium,0,2,1,Secondary,36,0,0,0,1,3,0,0,137.0,Medium,Academic
387729,MALE,SG,Gymnasium,0,2,1,Secondary,61,1,0,0,1,0,0,1,104.0,Medium,Academic
387729,MALE,SG,Gymnasium,0,2,1,Secondary,66,0,0,0,1,0,0,0,38.0,Low,Academic
387731,FEMALE,SG,Gymnasium,1,2,1,Secondary,12,0,1,0,1,3,1,0,73.0,Medium,Academic
387731,FEMALE,SG,Gymnasium,1,2,1,Secondary,37,0,0,0,1,0,0,0,9.0,Low,Academic
387733,MALE,Andere,Keine Angabe,1,0,1,Unknown,22,1,1,0,3,1,1,1,91.0,Medium,Other
387735,Unknown,Unknown,Unknown,0,0,1,Unknown,48,0,0,0,1,0,0,0,71.0,Medium,Other
387737,Unknown,Unknown,Unknown,0,0,1,Unknown,16,0,3,0,1,3,3,0,221.0,High,Other
387737,Unknown,Unknown,Unknown,0,0,1,Unknown,31,0,1,0,1,3,1,0,177.0,High,Other
387737,Unknown,Unknown,Unknown,0,0,1,Unknown,53,1,0,0,1,0,0,1,54.0,Low,Other
387741,Unknown,Unknown,Unknown,0,0,1,Unknown,22,0,3,0,1,3,3,0,146.0,Medium,Other
387741,Unknown,Unknown,Unknown,0,0,1,Unknown,41,0,3,0,3,3,3,0,16.0,Low,Other
387763,Unknown,Unknown,Unknown,0,0,1,Unknown,52,0,1,0,3,1,1,0,262.0,High,Other
387763,Unknown,Unknown,Unknown,0,0,1,Unknown,78,0,3,0,2,1,3,0,69.0,Medium,Other
387770,Unknown,Unknown,Unknown,1,0,1,Unknown,14,1,0,0,1,0,0,1,53.0,Low,Other
387797,FEMALE,BE,Gymnasium,0,4,1,Secondary,11,1,2,0,1,2,2,1,47.0,Low,Academic
387797,FEMALE,BE,Gymnasium,0,4,1,Secondary,39,1,0,0,1,0,0,1,56.0,Low,Academic
387797,FEMALE,BE,Gymnasium,0,4,1,Secondary,57,0,0,0,1,0,0,0,16.0,Low,Academic
387797,FEMALE,BE,Gymnasium,0,4,1,Secondary,60,0,0,0,1,0,0,0,35.0,Low,Academic
387812,Unknown,Unknown,Unknown,0,0,1,Unknown,61,0,1,0,0,2,1,0,42.0,Low,Other
387818,Other,SG,Gymnasium,0,2,1,Secondary,28,0,0,0,1,0,0,0,52.0,Low,Academic
387826,FEMALE,SG,Gymnasium,0,3,1,Secondary,23,1,0,0,1,0,0,1,4.0,Low,Academic
