cluster_spectral_eucl,education_level,n_rows,n_unique_users,dropout_point_rate,cluster_rate,rate_gap_vs_cluster,disparity_ratio_vs_cluster,support_note
0,Primary_LowerSec,47,28,0.3829787234042553,0.5360178970917227,-0.15303917368746733,0.7144886868184562,low unique-user support
0,Secondary,3350,2239,0.5388059701492537,0.5360178970917227,0.0027880730575310375,1.0052014551615875,
0,Tertiary_Apprentice,355,248,0.5464788732394367,0.5360178970917227,0.010460976147714018,1.0195160948999507,
0,Unknown,718,466,0.5278551532033426,0.5360178970917227,-0.008162743888380009,0.9847715086890406,
1,Secondary,715,640,0.45454545454545453,0.44339622641509435,0.011149228130360178,1.0251450676982592,
1,Tertiary_Apprentice,93,81,0.46236559139784944,0.44339622641509435,0.018969364982755088,1.0427819720887668,
1,Unknown,135,111,0.35555555555555557,0.44339622641509435,-0.08784067085953878,0.8018912529550828,
2,Secondary,467,453,0.4817987152034261,0.48599670510708404,-0.004197989903657939,0.9913621021304394,
2,Tertiary_Apprentice,49,48,0.5510204081632653,0.48599670510708404,0.06502370305618121,1.1337945347630576,
2,Unknown,89,86,0.4606741573033708,0.48599670510708404,-0.025322547803713236,0.9478956389259189,
3,Secondary,1113,905,0.4115004492362983,0.4171779141104294,-0.005677464874131122,0.9863907827281857,
3,Tertiary_Apprentice,157,127,0.554140127388535,0.4171779141104294,0.1369622132781056,1.3283064818284003,
3,Unknown,191,159,0.3403141361256545,0.4171779141104294,-0.07686377798477495,0.8157530027717894,
