method,cluster_label,n_rows,n_unique_users,dropout_point_rate
cluster_spectral_eucl,0,4470,2981,0.5360178970917227
cluster_spectral_eucl,1,954,841,0.44339622641509435
cluster_spectral_eucl,2,607,589,0.48599670510708404
cluster_spectral_eucl,3,1467,1197,0.4171779141104294
kmeans_eucl,0,4253,2840,0.5379731953914884
kmeans_eucl,1,1213,953,0.37840065952184665
kmeans_eucl,2,591,571,0.49238578680203043
kmeans_eucl,3,1441,1152,0.4774462179042332
kmeans_flat,0,522,505,0.4540229885057471
kmeans_flat,1,5881,3678,0.5254208467947628
kmeans_flat,2,161,131,0.14285714285714285
kmeans_flat,3,934,775,0.4025695931477516
