user_id,came_back,cluster_all_k2,cluster_behavior_k2,cluster_behavior_k5,cluster_gmm_k5
387604,1,0,0,4,4
387605,1,0,0,0,0
387608,1,0,0,0,0
387613,1,0,0,0,0
387615,1,0,0,2,2
387643,1,0,0,2,2
387644,1,0,0,2,2
387650,1,0,0,4,3
387655,0,0,0,4,4
387666,1,1,1,2,2
387667,1,0,0,0,0
387668,1,0,0,0,0
387669,1,0,0,0,0
387670,1,0,0,0,0
387671,1,0,0,3,3
387672,1,1,1,1,1
387673,1,0,0,0,0
387674,1,0,0,2,2
387676,1,0,0,4,4
387677,1,0,0,4,1
387678,1,0,0,4,4
387679,1,0,0,0,1
387681,1,0,0,0,0
387682,1,0,0,0,0
387683,1,0,0,0,0
387684,1,0,0,4,2
387685,0,0,0,0,1
387706,0,0,0,4,4
387710,1,0,0,0,2
387711,1,0,0,0,0
387712,1,0,0,2,0
387713,1,0,0,0,0
387715,1,0,0,2,1
387716,1,0,0,0,1
387717,1,0,0,3,2
387718,1,1,1,2,2
387721,1,0,0,4,3
387722,1,0,0,0,0
387724,1,0,0,0,2
387725,1,0,0,0,0
387726,1,0,0,2,1
387727,1,0,0,2,2
387728,1,0,0,0,0
387729,1,0,0,0,0
387730,1,0,0,0,0
387731,1,0,0,4,0
387732,1,0,0,0,0
387733,1,0,0,3,2
387735,1,0,0,4,3
387737,1,0,0,4,4
387740,1,0,0,4,4
387741,1,0,0,4,4
387742,1,0,0,0,0
387744,0,0,0,2,2
387747,0,0,0,2,1
387758,0,0,0,2,2
387761,0,0,0,0,2
387763,1,0,0,3,3
387767,1,0,0,3,3
387770,1,0,0,4,1
387793,0,0,0,0,0
387794,0,0,0,0,0
387795,0,0,0,0,0
387796,0,0,0,0,0
387797,1,0,0,0,0
387799,0,0,0,0,0
387802,0,0,0,0,0
387803,0,0,0,3,3
387804,0,0,0,4,3
387805,0,0,0,0,0
387807,0,0,0,0,0
387809,1,0,0,0,2
387812,1,0,0,2,3
387813,0,0,0,0,0
387814,0,0,0,0,0
387815,0,0,0,0,0
387817,0,0,0,0,0
387818,1,0,0,4,0
387819,0,0,0,0,0
387820,1,0,0,0,0
387821,0,0,0,0,1
387826,1,0,0,2,2
387827,1,0,0,0,0
387830,1,0,0,3,3
387831,1,0,0,0,0
387832,1,1,1,2,1
387833,1,0,0,4,4
387834,1,0,0,0,0
387836,0,0,0,0,0
387837,0,0,0,0,0
387838,0,0,0,2,2
387839,0,0,0,0,0
387840,0,0,0,0,0
387841,0,0,0,0,0
387842,0,0,0,4,1
387843,0,0,0,0,0
387844,1,0,0,0,0
387845,0,0,0,0,0
387846,0,0,0,3,2
387847,0,0,0,0,0
387849,0,0,0,0,0
387850,0,0,0,0,2
387851,0,0,0,0,2
387856,0,0,0,0,0
387868,1,0,0,0,0
