spectral_eucl,school_type,n_rows,n_unique_users,dropout_point_rate,cluster_rate,rate_gap_vs_cluster,disparity_ratio_vs_cluster,support_note
0,Academic,464,449,0.4504310344827586,0.4806451612903226,-0.030214126807563968,0.9371383938903032,
0,Other,94,93,0.6276595744680851,0.4806451612903226,0.14701441317776248,1.3058689133228616,
0,Unknown,61,57,0.47540983606557374,0.4806451612903226,-0.0052353252247488435,0.98910771261965,
1,Academic,3287,2171,0.5290538484940676,0.5242310245629564,0.004822823931111109,1.0091998063928624,
1,Other,675,482,0.5007407407407407,0.5242310245629564,-0.02349028382221574,0.9551909697794035,
1,Unknown,532,329,0.5206766917293233,0.5242310245629564,-0.003554332833633156,0.9932199113232637,
2,Academic,1033,872,0.4365924491771539,0.42681159420289855,0.009780854974255349,1.0229160948463027,
2,Other,191,174,0.4973821989528796,0.42681159420289855,0.07057060474998106,1.1653436919439284,
2,Unknown,155,118,0.2709677419354839,0.42681159420289855,-0.15584385226741465,0.6348649980831371,
3,Academic,725,633,0.4386206896551724,0.4454638124362895,-0.006843122781117095,0.9846382072121833,
3,Other,152,132,0.5131578947368421,0.4454638124362895,0.06769408230055263,1.1519631458508972,
3,Unknown,102,93,0.39215686274509803,0.4454638124362895,-0.053306949691191485,0.8803338268946022,
