user_id,end_week,is_dropout_point,spectral_agg,spectral_eucl,kmeans_flat,kmeans_eucl
387604,46,0,0,2,2,3
387605,26,0,0,2,2,3
387608,68,0,0,2,2,1
387615,50,0,0,1,0,0
387615,60,1,0,1,0,0
387650,30,0,0,2,2,1
387650,36,0,0,2,2,3
387650,40,0,0,3,3,1
387650,44,0,0,3,2,1
387650,72,0,0,2,0,3
387667,25,1,0,1,0,0
387668,30,0,0,1,0,0
387669,32,0,0,2,0,3
387671,45,1,0,2,2,3
387671,57,0,0,1,0,0
387672,12,0,0,3,1,1
387673,12,1,0,0,0,2
387673,15,1,0,1,0,0
387674,25,1,0,1,0,0
387674,48,1,0,3,2,1
387676,55,1,0,2,3,3
387677,20,1,0,1,0,0
387677,51,0,0,0,1,2
387678,54,0,0,2,0,3
387679,33,0,0,1,0,3
387682,14,1,0,1,0,0
387683,25,1,0,1,0,0
387683,34,0,0,1,0,0
387711,18,0,0,1,0,0
387711,51,0,0,3,0,1
387713,14,0,0,2,0,3
387713,51,1,0,1,0,0
387715,11,0,0,0,1,2
387716,31,0,0,1,0,0
387716,49,1,0,0,1,2
387717,35,0,0,1,0,0
387722,17,0,0,2,0,3
387725,17,0,0,2,0,3
387726,13,0,0,0,1,2
387726,23,0,0,1,0,0
387727,18,0,0,3,2,1
387727,32,1,0,3,2,1
387727,33,1,0,3,1,1
387727,35,1,0,3,0,1
387728,16,1,0,2,2,3
387729,23,0,0,3,2,1
387729,24,0,0,3,1,1
387729,48,0,0,3,0,1
387729,56,1,0,3,2,1
387730,16,1,0,2,2,3
387730,38,0,0,2,2,3
387731,32,0,0,0,0,2
387733,27,1,0,3,0,1
387735,43,0,0,1,0,0
387737,11,0,0,0,0,2
387737,20,0,0,2,0,3
387740,14,1,0,1,0,0
387741,17,0,0,1,0,0
387741,36,0,0,2,0,3
387763,47,0,0,3,2,1
387763,73,0,0,2,2,1
387770,31,1,0,2,0,3
387797,22,1,0,1,0,0
387812,49,0,0,2,2,1
387812,65,0,0,2,0,3
387818,12,1,0,1,0,0
387826,33,1,0,1,0,0
387826,38,1,0,1,0,0
387827,43,0,0,1,0,0
387827,49,0,0,1,0,0
387827,50,1,0,1,0,0
387830,11,1,0,3,0,1
387830,12,1,0,0,0,2
387830,38,1,0,2,0,3
387830,45,0,0,3,0,1
387830,51,0,0,2,0,0
387832,32,1,0,1,0,0
387833,16,0,0,3,0,1
387833,27,1,0,2,0,3
387834,35,1,0,1,0,0
387834,41,1,0,1,0,0
387834,48,0,0,1,0,0
387834,52,0,0,1,0,0
387871,23,0,0,1,0,0
387872,18,1,0,0,0,2
387873,42,0,0,2,1,2
387873,44,0,0,2,2,1
387873,48,0,0,3,0,1
387875,20,1,0,1,0,0
387875,37,0,0,3,0,1
387876,22,1,0,2,0,1
387876,53,1,1,2,3,3
387876,59,1,0,0,1,2
387876,66,0,0,1,0,0
387877,16,0,0,2,0,3
387877,30,1,0,2,0,3
387877,31,1,0,1,0,3
387878,19,0,0,2,0,3
387878,34,0,0,0,1,2
387878,43,0,0,2,0,3
387878,53,1,0,2,2,3
387880,21,0,0,3,0,0
387880,53,0,0,1,0,0
387881,17,1,0,3,0,1
387881,25,0,0,1,0,0
387883,26,0,0,3,1,1
387884,68,0,0,1,0,0
387887,18,0,0,3,0,1
387889,21,0,0,3,0,3
387889,31,0,0,3,0,1
387889,34,0,0,0,1,2
387892,18,0,0,2,2,3
387892,35,0,0,3,0,1
387919,36,0,0,3,0,0
387920,32,0,0,3,0,3
387920,35,1,0,3,0,1
387920,40,1,0,1,0,0
387926,51,1,0,3,1,1
387927,43,0,0,2,2,1
387928,47,1,0,1,0,0
387928,52,1,0,1,0,0
387929,20,0,0,3,0,1
387929,32,0,0,3,0,1
387930,25,0,0,1,0,0
387931,28,0,0,2,0,3
387931,32,0,0,2,0,3
387931,43,0,0,2,2,1
387931,44,0,0,3,2,1
387932,18,1,0,1,0,0
387932,35,0,0,2,0,3
387932,63,0,0,1,0,0
387933,34,0,0,3,0,1
387934,11,0,0,0,0,2
387934,22,0,0,1,0,0
387934,32,0,0,2,0,3
387935,46,1,0,0,1,2
387936,15,1,0,1,0,0
387936,54,0,0,3,0,1
387936,56,0,0,1,0,0
387937,52,1,0,0,1,2
387937,62,0,0,1,0,0
387938,48,1,0,3,1,1
387938,58,0,0,1,0,0
387939,21,0,0,1,0,0
387939,58,0,0,1,0,0
387939,60,0,0,1,0,0
387940,18,1,0,1,0,0
387940,54,0,0,3,0,1
387941,38,0,0,2,2,3
387941,50,0,0,3,1,1
387941,58,0,0,1,0,0
387942,46,1,0,3,2,1
387942,47,1,0,3,1,1
387942,63,0,0,1,0,0
387943,11,0,0,0,0,2
387943,57,0,0,1,0,0
387945,39,0,0,2,2,3
387945,46,1,0,0,1,1
387945,47,1,0,3,1,1
387945,67,1,0,1,0,0
387947,46,1,0,1,0,0
387948,28,0,0,3,0,1
387950,23,0,0,1,0,0
387968,13,1,0,1,0,0
388020,19,0,0,2,0,0
388020,45,0,0,1,0,0
388020,61,1,0,2,2,3
388026,72,0,0,0,1,2
388026,76,0,0,2,1,2
388030,11,1,0,0,0,2
388030,23,1,0,1,0,0
388031,37,1,0,3,0,0
388031,44,1,0,1,0,0
388043,27,0,0,1,0,0
388047,27,0,0,2,2,3
388047,44,0,0,3,0,1
388047,50,0,0,1,0,0
388052,37,1,0,1,0,0
388052,74,0,0,2,0,3
388053,35,1,0,1,0,0
388053,44,1,0,1,0,0
388059,17,0,0,0,1,2
388060,40,1,0,1,0,0
388065,47,0,0,1,0,0
388066,19,1,0,3,0,1
388067,35,1,0,1,0,0
388070,14,1,0,2,0,3
388070,22,1,0,0,0,2
388070,23,1,0,1,0,0
388070,38,0,0,1,0,0
388071,29,1,0,1,0,0
388071,60,1,0,1,0,0
388072,37,0,0,1,0,0
388072,39,0,0,1,0,0
388072,55,1,0,1,0,0
388073,16,1,0,3,0,1
388073,59,1,0,1,0,0
388074,13,1,0,2,0,3
388074,62,1,0,1,0,0
388075,20,0,0,1,0,0
388075,51,1,0,1,0,0
388075,52,1,0,1,0,0
388076,36,0,0,1,0,0
388077,13,1,0,1,0,0
388077,24,1,0,1,0,0
388078,13,1,0,2,0,3
388078,44,0,0,1,0,0
388078,48,1,0,1,0,0
388093,35,1,0,1,0,0
388093,40,0,0,1,0,0
388097,15,1,0,2,0,3
388097,49,0,0,1,0,0
388101,15,1,0,1,0,0
388101,32,0,0,1,0,0
388102,14,1,0,1,0,0
388102,17,1,0,1,0,0
388102,29,0,0,1,0,0
388102,48,1,0,3,0,1
388103,18,1,0,1,0,0
388103,55,1,0,2,0,3
388105,44,1,0,2,0,3
388105,48,0,0,1,0,3
388108,33,0,0,1,0,0
388108,36,0,0,1,0,0
388110,12,1,0,0,0,2
388112,27,1,0,1,0,0
388113,41,0,0,2,0,3
